Designator,Footprint,Quantity,Value,LCSC Part #
"C102, C103",0603,2,16pF,
"C104, C111",0603,2,0.1uF,
C108,0805,1,4.7uF,
"C109, C113",0805,2,1uF,
"C110, C112",0805,2,10uF,
D102,0603,1,LED RED,
D103,0603,1,LED GREEN,
D104,D_SOD-323_HandSoldering,1,NSR0340HT1G,
FB101,0805,1,MH2029-601Y,
J101,USB_C_5077CR-16-SMC2-BK-TR,1,USB4105-GF-A,
J103,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LiPo BATTERY,
Q101,MSOP-8_3x3mm_P0.65mm,1,IRF7606TRPBF,
"R102, R109, R110, R112, R114, R117",0805,6,10K,
"R103, R104",0603,2,5.1K,
"R105, R108",0603,2,10K,
"R106, R120, R121",0805,3,20K 1%,
R107,0805,1,12K 1%,
R115,0805,1,2K,
"R118, R119",0805,2,330,
R122,0805,1,100K,
"SW101, SW103, SW104, SW105, SW106",TS-06104,5,TS-06104,
SW102,WS-TASV SMT Tact Switch,1,3.5x2.6 Tact SW,
U101,IC18_ESP32-C3-WROOM-02-N4_EXP,1,ESP32-C3-WROOM-02-N4,
U102,SOT-23-5,1,SPX3819M5-L,
U103,OLED I2C DISPLAY,1,SSD1306_DISPLAY,
U104,SOT-23-5,1,MCP73831-2-OT,
Y101,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.7680KHz,
